id,split,claim,invalid_supporting_facts
b3503c8e-4d6d-4bb1-9981-cbb67a2ccc7f,train,The city that the station where DJ Laila is a reporter is headquartered includes a shopping mall. It is located in Old Towne Road.,"[[""News5"", 3, 3]]"
40e736f0-a113-470e-99bf-e9bbd261c028,train,The high-altitude city that News5 is headquartered includes a shopping mall. It is located in Ortigas Center.,"[[""News5"", 3, 3]]"
cea5a961-28e1-41fe-b740-37c143eb227c,train,The city that News5 is headquartered includes a shopping mall. It is located in Ortigas Center.,"[[""News5"", 3, 3]]"
25a0d4e6-a00e-4744-bbd8-03afbe50af5d,train,The Pro Wrestling Fujiwara Group was formed by the current and undisputed NEVER Openweight Champion.,"[[""Minoru Suzuki"", 2, 2]]"
2db692fc-26e7-4003-b841-b4fd3d39acfb,train,The Pro Wrestling Fujiwara Group was formed by the current NEVER Openweight Champion.,"[[""Minoru Suzuki"", 2, 2]]"
5dcc38de-83dd-4ab9-b177-4c908af13e4c,train,Both the institute that Ermal C. Fraze obtained a medical degree at and University of New Mexico offer post-secondary degrees.,"[[""Ermal C. Fraze"", 5, 5]]"
51814b4c-8de2-41f9-b4ff-81c49c2e1fb3,train,Both the institute that Ermal C. Fraze obtained a degree at and University of New Mexico offer degrees.,"[[""Ermal C. Fraze"", 5, 5]]"
a01255fb-a73c-4788-950e-307593508f7d,train,The institute that Ermal C. Fraze obtained a degree at offers post-secondary degrees. The institute that Lamaar Thomas played college football at also offers post-secondary degrees.,"[[""Ermal C. Fraze"", 5, 5]]"
81811d0c-68f1-4fc8-9ccd-b828aad01377,train,The privately-funded institute that Ermal C. Fraze obtained a degree at offers post-secondary degrees. The institute that Lamaar Thomas played college football at also offers post-secondary degrees.,"[[""Ermal C. Fraze"", 5, 5]]"
a741ddac-3076-4f53-8c08-d5b9beba6700,train,Both the institute that Ermal C. Fraze obtained a degree at and University of New Mexico offer post-secondary degrees.,"[[""Ermal C. Fraze"", 5, 5]]"
ef407ca4-3963-4306-87f2-7f3f9199f818,train,The institute that Ermal C. Fraze obtained a degree at offers post-secondary degrees. The institute that Lamaar Thomas played college football at also offers post-secondary degrees.,"[[""Ermal C. Fraze"", 5, 5]]"
175f42c1-e8a5-4dfa-be59-338d610c29e1,train,The institute that Ermal C. Fraze obtained a degree at offers post-secondary degrees. The institute that Lamaar Thomas played college football and baseball at also offers post-secondary degrees.,"[[""Ermal C. Fraze"", 5, 5]]"
925c051c-16e1-42a3-8495-67347bcf7336,train,A politician succeeded the Democrat who is currently serving the governor. This governor was part of the Navy. The politician who succeeded the Democrat won the Missouri state treasurer election in 2012 2012.,"[[""Missouri state treasurer election, 2012"", 1, 1]]"
991d575e-eca7-446f-b0a7-3868ef112ecb,train,The Italian surname Bellini is not normally written after given names.,"[[""Bellini"", 0, 0]]"
b05fc0c1-3d7b-43d1-bd69-084a6d30f06d,train,The Italian surname Bellini is normally written after given names.,"[[""Bellini"", 0, 0]]"
e590fe4b-4fa9-4dd1-9248-3c15a713863e,train,"The musician that signed Godhead (band) to their label and another singer are both German singer, songwriters. Second Hand Life is the tenth solo studio album by this other singer.","[[""Godhead (band)"", 1, 1]]"
aa9de68a-19cf-4e8d-a2cb-85f4040175b8,train,"This artist signed the rock band, whose fifth studio album was called Evolver, to their label. He and the musician Joe Lynn Turner are both American singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
56988845-fe40-47ae-b834-b052187bcfb8,train,"This artist signed the band, whose third studio album was called Evolver, to their label. He and the musician Joe Lynn Turner are both American singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
b112bbff-ef34-430d-a4e9-68fce2a191ad,train,"The musician that signed Godhead (band) to their label and another singer are both British singer, songwriters. Second Hand Life is the tenth solo studio album by this other singer.","[[""Godhead (band)"", 1, 1]]"
bcbb2951-5924-427c-9efa-aa2974c615b0,train,"This artist signed the band, whose fifth studio album was called Evolver, to their label. He and the musician Joe Lynn Turner are both American singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
6c7e8b67-9d4f-402b-94f9-b1516ed747c2,train,"The musician that signed Godhead (band) to their label and Joe Lynn Turner are both American singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
4d64919d-f1cf-4ffd-becc-e26cbe8a195b,train,"The musician that signed Godhead (band) to their label and Joe Lynn Turner are both American singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
d8baec7c-93e7-450e-9d0b-5d2cf13a26c7,train,"Marilyn Manson, who signed Godhead (band) to their label and Joe Lynn Turner are both American singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
a7a5c710-b5d8-4858-b968-afb818097cd4,train,"This artist signed the band, whose fifth studio album was called Evolver, to their label. He and the musician Joe Lynn Turner are both German singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
0638bdb1-b4a6-4359-a9e8-8a5494ad5510,train,"The musician that signed Godhead (band) to their label in 2005 and another singer are both American singer, songwriters. Second Hand Life is the tenth solo studio album by this other singer.","[[""Godhead (band)"", 1, 1]]"
1d5d2ba7-8beb-47cc-b8b6-5fc4fb9fafa6,train,"The musician that signed Godhead (band) to their label and Joe Lynn Turner are both AOR singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
da0016ec-6420-4796-879e-84d9c3f9fff3,train,"The person that signed Godhead (band) to their label and Joe Lynn Turner are both singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
81535473-ad1b-45ee-b7da-e3a2d0eed628,train,"The musician that signed Godhead (band) to their label and another singer are both American singer, songwriters. Second Hand Life is the second solo studio album by this other singer.","[[""Godhead (band)"", 1, 1]]"
e3546389-44c3-412a-90a4-91383e01f44d,train,"This artist signed the band, whose fifth studio album was called Evolver, to their label. He and the musician Joe Lynn Turner are both AOR singer, songwriters.","[[""Godhead (band)"", 1, 1]]"
550ecce7-e214-41ad-8442-c9fb7138060c,train,"The musician that signed Godhead (band) to their label and another singer are both American singer, songwriters. Second Hand Life is the tenth solo studio album by this other singer.","[[""Godhead (band)"", 1, 1]]"
3957ba01-f0ed-4f3a-aede-c2388742ef87,train,The winner of the 1991 Estoril Open – Men's Singles defeated Karel Nováček. The defending champion of the 1983 Virginia Slims of Houston (Doubles) and that winner do not have the same nationality.,"[[""1991 Estoril Open – Men's Singles"", 3, 1]]"
72778f66-72e8-495e-bd7f-68172bccec5f,train,The British winner of the 1991 Estoril Open – Men's Singles defeated Karel Nováček. The defending champion of the 1983 Virginia Slims of Houston (Doubles) and that winner do not have the same nationality.,"[[""1991 Estoril Open – Men's Singles"", 3, 1]]"
f130157e-8482-4f42-a38a-7132816670bf,train,"Anders Järryd and his partner won the 1987 Open which Akiko Kijimuta reached the 4th round, in Men's Doubles. His partner won a gold medal with Ken Flach in the men's doubles in the Olympics games held in the Republic of Korea the next year.","[[""1987 French Open – Men's Doubles"", 1, 1]]"
a775ba1c-55cc-4123-ae8a-a3526961f829,train,Anders Järryd and his partner won the 1987 French Open – Men's Doubles by two sets to one. His partner won a gold medal with Ken Flach in the men's doubles in the Olympics games held in the Republic of Korea.,"[[""1987 French Open – Men's Doubles"", 1, 1]]"
156f6fb8-0813-4e09-8835-9cde3fb19ef5,train,"Anders Järryd and his partner won the 1987 Open which Akiko Kijimuta reached the 4th round, in Men's Doubles. His partner won a gold medal with Ken Flach in the men's doubles in the Olympics games held in the Republic of Korea.","[[""1987 French Open – Men's Doubles"", 1, 1]]"
19f36fe5-57f5-42d6-a7e2-10fd815ea57c,train,Anders Järryd and his partner won the 1987 French Open – Men's Doubles. His partner won a gold medal with Rye Brook in the men's doubles in the Olympics games held in the Republic of Korea.,"[[""1987 French Open – Men's Doubles"", 1, 1]]"
861389bf-e30a-44bb-b1f8-d7ad4e29f094,train,Anders Järryd and his partner won the 1987 French Open – Men's Doubles. His partner won a gold medal with Ken Flach in the men's doubles in the Olympics games held in the Republic of Korea.,"[[""1987 French Open – Men's Doubles"", 1, 1]]"
006f92b7-627e-4c2e-888c-04cf009dd968,train,Rye Brook and his partner won the 1987 French Open – Men's Doubles. His partner won a gold medal with Ken Flach in the men's doubles in the Olympics games held in the Republic of Korea.,"[[""1987 French Open – Men's Doubles"", 1, 1]]"
897dd3f7-9e3f-4198-b3f9-d76c5134eddc,train,Chuang Chia-jung and her partner emerged the victors of the 2007 Ordina Open Women's Doubles Competition. Svetlana Aleksandrovna Kuznetsova has appeared in more Gland Slam finals than Chuang Chia-jung's partner.,"[[""2007 Ordina Open – Women's Doubles"", 1, 1]]"
3063e801-9d6e-4bc5-b353-d2b14b4fd758,train,Svetlana Aleksandrovna Kuznetsova and her partner emerged the victors of the 2007 Ordina Open Women's Doubles Competition. Svetlana Aleksandrovna Kuznetsova has appeared in more Gland Slam finals than Svetlana Aleksandrovna Kuznetsova's partner.,"[[""2007 Ordina Open – Women's Doubles"", 1, 1]]"
70e5b0b9-5a5d-4931-be73-54370c2b565b,train,Chuang Chia-jung and her partner emerged the victors of the 2007 Ordina Open Women's Doubles Competition. Svetlana Aleksandrovna Kuznetsova has appeared in more Gland Slam finals than Svetlana Aleksandrovna Kuznetsova partner.,"[[""2007 Ordina Open – Women's Doubles"", 1, 1]]"
9de957af-87d9-46c1-ac14-892162b3e464,train,Korean Chuang Chia-jung and her partner emerged the victors of the 2007 Ordina Open Women's Doubles Competition. Svetlana Aleksandrovna Kuznetsova has appeared in more Gland Slam finals than Chuang Chia-jung's partner.,"[[""2007 Ordina Open – Women's Doubles"", 1, 1]]"
faaec546-3cd6-4635-b7c8-dbdc17de410e,dev,The spy imprisoned in the state of Indiana was the master access list for the Timberwind project.,"[[""Project Timberwind"", 4, 4]]"
ee5e17ae-f7d4-47e8-afbb-c9a619168769,dev,The convicted spy imprisoned in the state of Indiana was the master access list for the Timberwind project.,"[[""Project Timberwind"", 4, 4]]"
0e557f04-3e70-4dd5-afbf-6ac2fef8a6f4,dev,Vic & Anthony's Steakhouse is located at the casino that was combined with the California Club. The casino is owned by another company. The other company operates Golden Nugget Lake Charles.,"[[""Golden Nugget Lake Charles"", 1, 1]]"
7cc165ba-c447-4088-aa62-9bdbe771dbf0,dev,The convicted spy imprisoned in the city of Indianapolis was the master access list for the Timberwind project.,"[[""Project Timberwind"", 4, 4]]"
35656018-4cb6-4a1a-bf39-346cb1f0ce36,dev,A winner of the 1990 Australian Open – Men's Doubles along with Pieter Aldrich and another player are not both Grand Slam tennis tournament winners at doubles. The other player did not participate at the 2012 PTT Thailand Open – Doubles with his partner Aisam.,"[[""2012 PTT Thailand Open – Doubles"", 1, 1]]"
70dc49e4-c8fa-47bb-b526-ca0d8e903fe8,dev,Forests of this genus are characteristic to the Alpokalja region. The genus has more than the Chelone genus.,"[[""Alpokalja"", 3, 3]]"
7061bcf5-663a-4f14-8923-a3efffd367f2,dev,Forests of this genus are characteristic to the Alpokalja region. The genus has more hearty species than does the Chelone genus.,"[[""Alpokalja"", 3, 3]]"
b212e1c6-4121-4ada-b313-243d9279ae49,dev,The convicted spy imprisoned in the state of Texas-raised was the master access list for the Timberwind project.,"[[""Project Timberwind"", 4, 4]]"
225d7505-2b64-465f-b8a2-3813070a72f9,dev,Vic & Anthony's Steakhouse is located at the downtown casino that was combined with the California Club. The casino is owned by another company. The other company operates Golden Nugget Lake Charles.,"[[""Golden Nugget Lake Charles"", 1, 1]]"
d0e63086-881a-4375-9f0e-a1516553f920,dev,"A winner of the 1990 Australian Open – Men's Doubles with Pieter Aldrich and another player are not both Grand Slam tennis tournament winners at doubles. The other player did not participate at the 2012 PTT Thailand Open – Doubles with his partner Aisam, due to a broken leg.","[[""2012 PTT Thailand Open – Doubles"", 1, 1]]"
da105523-0a31-4bdb-a965-281828423310,dev,The city that the station where DJ Laila is a reporter is headquartered includes a shopping mall. It is located in Ortigas Center.,"[[""News5"", 3, 3]]"
d0dc5ef3-8874-447b-a342-42e23394c7ab,dev,The city that News5 is headquartered in  includes a shopping mall. . It is located in the same development as Robinsons Cyberscape.,"[[""News5"", 3, 3]]"
c2d15f11-d434-4a86-8e5b-21e0231944a3,dev,The man who produced Arabia Mountain (album) co-wrote this song. That song was sung by Lily Allen.,"[[""Lily Allen discography"", 8, 8]]"
8f4b3e4b-88fa-4006-8128-73e699c82066,dev,Forests of this genus are characteristic to the Alpokalja region. The  genus has more species than does the Chelone genus.,"[[""Alpokalja"", 3, 3]]"
